#{"t_start": 1711460808.3404334, "env_id": "None"}
r,l,t
541.5,167,0.338812
538.0,178,0.564235
516.5,205,0.813115
525.5,201,1.053471
504.5,225,1.315275
409.0,344,1.727161
509.0,218,1.995677
529.5,181,2.212404
440.0,304,2.572717
529.5,189,4.361699
470.0,270,4.690284
459.0,284,5.026509
482.0,248,5.332103
428.0,322,5.729495
462.0,276,6.107847
448.0,298,6.457735
517.5,199,8.271232
415.0,336,8.70624
435.0,306,9.056755
397.0,362,9.740594
431.0,318,10.097476
483.5,249,10.36708
483.0,250,10.635217
402.5,373,11.051146
400.5,357,11.507533
436.5,309,11.900257
463.5,287,12.31058
393.5,379,14.295495
-364.0,501,14.894468
431.0,324,15.277619
471.0,266,15.600301
331.5,443,16.099558
-356.0,501,18.212345
317.5,489,18.778151
418.0,336,19.205714
-204.5,501,19.802689
-202.0,501,20.924268
439.0,318,21.273563
440.5,311,21.706205
-376.5,501,22.24806
486.5,245,22.521453
509.0,222,22.80038
363.5,423,24.854123
519.5,197,25.085045
-390.5,501,25.665977
469.0,266,25.991025
434.0,310,26.35144
505.0,218,26.624087
397.0,368,28.577467
405.5,355,29.019508
397.0,370,29.446082
493.0,236,29.742141
316.0,478,30.294055
-182.5,501,32.413551
471.0,276,32.73666
489.0,234,33.312507
-356.5,501,33.801536
-397.5,501,34.341846
423.0,332,34.692385
357.0,408,35.121527
403.0,360,35.581721
-378.0,501,36.164048
325.0,472,36.729723
367.5,427,38.859294
355.0,424,39.368857
516.0,210,39.617517
329.0,450,40.156909
351.0,430,40.656218
484.5,245,42.70451
412.5,351,43.128549
441.5,297,43.478071
325.0,462,44.066685
472.5,271,44.815571
423.5,321,45.156514
411.5,341,45.524212
372.5,401,45.946804
365.0,424,46.429411
526.0,186,46.655648
377.0,392,48.901263
-387.5,501,49.540423
441.0,312,49.898103
450.0,288,50.243316
-343.5,501,50.830955
440.0,300,51.170866
392.5,369,53.377077
397.0,376,53.82238
540.0,178,54.036832
-189.5,501,54.648099
461.0,274,54.990882
398.0,360,55.396777
429.5,317,57.576295
497.5,225,57.975597
417.5,343,58.36808
407.0,346,58.740781
466.0,270,59.040344
426.5,327,59.395226
447.5,311,59.788919
457.5,279,60.105151
401.0,362,60.554336
396.5,363,61.003626
420.0,332,63.103296
400.0,360,63.58604
407.0,344,63.991685
360.0,428,64.497521
409.0,354,64.913314
392.5,369,65.362494
476.0,250,67.396248
442.0,304,67.758183
376.5,413,68.274042
351.0,442,68.806474
-191.0,501,69.442225
461.0,272,69.754742
294.0,250,70.004371
411.5,347,70.396448
391.0,378,70.802914
374.0,428,71.358527
401.0,360,73.520884
413.0,348,73.940137
356.0,422,74.446557
470.0,266,74.761692
199.5,373,75.195141
310.0,482,75.777549
339.5,187,77.740649
478.0,258,78.066734
352.5,161,78.256498
371.0,406,78.710207
305.5,489,79.271289
230.5,339,79.670567
432.0,320,81.741338
-197.5,501,82.515613
408.5,347,82.91488
453.5,275,83.214209
-203.5,501,83.790053
423.0,334,84.162708
318.5,479,84.739647
406.0,352,85.160391
330.5,463,85.751729
-206.5,501,86.342134
461.5,283,88.442832
468.5,269,88.775955
412.0,346,89.180015
423.0,328,89.578315
463.5,277,89.902474
357.5,413,90.404693
441.5,307,92.612898
452.5,305,92.99297
327.0,452,93.52222
494.0,234,94.061833
412.0,348,94.447974
373.5,393,94.846899
-210.5,501,95.396555
456.0,294,95.718419
494.0,236,96.00456
-194.5,501,96.617459
415.0,362,98.804913
549.5,163,98.989546
312.0,484,99.585427
438.0,328,99.968076
499.5,227,100.243299
392.5,367,100.688438
463.5,275,101.007955
316.5,481,103.289073
488.5,249,103.595074
455.5,291,103.949925
320.0,448,104.460202
423.5,335,104.866333
429.0,322,105.516335
-206.0,501,106.062338
417.0,334,106.423445
381.0,392,106.848775
428.5,323,107.205321
424.0,336,109.394843
493.5,237,109.700916
-386.0,501,110.29326
317.0,486,110.882222
353.5,425,111.391355
386.0,384,113.600761
507.0,210,113.846688
-192.5,501,114.435267
408.5,357,114.867396
332.0,458,115.400285
444.5,301,117.53013
494.5,235,117.829367
384.5,369,118.269025
489.0,236,118.784919
379.0,378,119.194295
478.0,254,119.493799
480.0,248,119.765539
337.5,423,120.225087
372.5,407,120.714829
403.0,360,121.146864
494.0,232,121.422992
447.5,297,123.546777
-389.0,501,124.158772
330.5,465,124.718064
361.5,417,125.199499
